date,open,high,low,close,volume,amount,outstanding_share,turnover
2023-01-03,5.67,5.76,5.66,5.75,6492251.0,37170446.0,1636060605.0,0.003968221580642485
2023-01-04,5.8,5.8,5.73,5.77,6022650.0,34740769.0,1636060605.0,0.0036811900375781008
2023-01-05,5.76,5.79,5.74,5.78,6063645.0,34958637.0,1636060605.0,0.0037062471778054945
2023-01-06,5.76,5.98,5.73,5.84,16208154.0,95403384.0,1636060605.0,0.009906817602273358
2023-01-09,5.92,6.42,5.88,6.42,47421275.0,302957046.0,1636060605.0,0.028985035673540955
2023-01-10,6.35,6.35,6.12,6.22,61119579.0,381054918.0,1636060605.0,0.03735777196346587
2023-01-11,6.31,6.67,6.22,6.43,72986612.0,470399892.0,1636060605.0,0.04461119091612135
2023-01-12,6.45,6.8,6.34,6.55,56118912.0,369539957.0,1636060605.0,0.03430124277089357
2023-01-13,6.64,6.75,6.44,6.56,51958085.0,341859513.0,1636060605.0,0.031758044195434924
2023-01-16,6.7,6.7,6.45,6.46,38598230.0,251220721.0,1636060605.0,0.023592176159024376
2023-01-17,6.45,6.55,6.44,6.47,18606337.0,120647680.0,1636060605.0,0.011372645330580525
2023-01-18,6.44,6.63,6.44,6.5,19754928.0,128987091.0,1636060605.0,0.012074692061911729
2023-01-19,6.48,6.54,6.45,6.5,15947328.0,103667120.0,1636060605.0,0.009747394412690477
2023-01-20,6.5,6.55,6.47,6.51,16731846.0,108865230.0,1636060605.0,0.010226910879013555
2023-01-30,6.56,6.62,6.47,6.54,22760281.0,148628678.0,1636060605.0,0.013911636849174056
2023-01-31,6.52,6.73,6.49,6.69,29130952.0,194028294.0,1636060605.0,0.017805545779277534
2023-02-01,6.67,6.88,6.65,6.72,24966605.0,168016874.0,1636060605.0,0.015260195694278698
2023-02-02,6.72,7.08,6.68,6.86,43336362.0,298109928.0,1636060605.0,0.02648823757968306
2023-02-03,6.82,6.9,6.71,6.77,20072327.0,136111655.0,1636060605.0,0.012268694043885984
2023-02-06,6.76,6.84,6.7,6.78,16603660.0,112210816.0,1636060605.0,0.010148560480740872
2023-02-07,6.8,6.87,6.72,6.79,12820046.0,87047642.0,1636060605.0,0.007835923657608027
