date,open,high,low,close,volume,amount,outstanding_share,turnover
2023-01-03,6.2,6.27,6.02,6.08,21751427.0,132516825.0,1099535600.0,0.019782376305050968
2023-01-04,6.05,6.13,6.02,6.06,15274300.0,92669813.0,1099535600.0,0.013891592050316516
2023-01-05,6.03,6.06,5.92,5.94,18322708.0,109221654.0,1099535600.0,0.016664042528500213
2023-01-06,5.89,5.94,5.75,5.76,23481928.0,136565245.0,1099535600.0,0.021356223481986396
2023-01-09,5.78,5.87,5.76,5.82,14264917.0,83141427.0,1099535600.0,0.01297358357473828
2023-01-10,5.82,5.85,5.73,5.76,10158850.0,58586907.0,1099535600.0,0.009239218812014819
2023-01-11,5.76,5.79,5.68,5.76,10379450.0,59673070.0,1099535600.0,0.009439848968964716
2023-01-12,5.78,5.8,5.65,5.68,12922919.0,73610221.0,1099535600.0,0.011753070114328266
2023-01-13,5.68,5.77,5.68,5.75,7870600.0,45175880.0,1099535600.0,0.00715811293422423
2023-01-16,5.77,5.9,5.76,5.86,11458014.0,67117370.0,1099535600.0,0.010420775825721332
2023-01-17,5.9,5.9,5.72,5.73,10166300.0,58682105.0,1099535600.0,0.009245994399817523
2023-01-18,5.77,5.77,5.72,5.74,4709400.0,27046360.0,1099535600.0,0.00428308096618245
2023-01-19,5.74,5.77,5.67,5.76,6342505.0,36245190.0,1099535600.0,0.005768348928402136
2023-01-20,5.75,5.86,5.75,5.86,12547660.0,73054946.0,1099535600.0,0.01141178148301883
2023-01-30,5.9,6.19,5.9,6.1,27942568.0,169408832.0,1099535600.0,0.025413063478799593
2023-01-31,6.06,6.1,5.95,6.03,19162100.0,115003610.0,1099535600.0,0.01742744846096843
2023-02-01,6.05,6.06,5.99,6.05,9588404.0,57756931.0,1099535600.0,0.008720412508699127
2023-02-02,6.05,6.24,6.02,6.19,20976089.0,129184885.0,1099535600.0,0.01907722587608805
2023-02-03,6.22,6.32,6.12,6.31,22456090.0,139922919.0,1099535600.0,0.020423249597375473
2023-02-06,6.27,6.34,6.22,6.25,12713900.0,79793716.0,1099535600.0,0.011562972585880803
2023-02-07,6.25,6.29,6.21,6.28,9862980.0,61648912.0,1099535600.0,0.008970132481385777
2023-02-08,6.33,6.39,6.19,6.19,11878100.0,74272765.0,1099535600.0,0.01080283348715585
2023-02-09,6.21,6.3,6.17,6.28,12510537.0,78362246.0,1099535600.0,0.011378019047314157
2023-02-10,6.28,6.44,6.28,6.41,20205120.0,129076068.0,1099535600.0,0.018376048942844597
2023-02-13,6.39,6.53,6.33,6.42,16871843.0,107930039.0,1099535600.0,0.01534451726710804
