date,open,high,low,close,volume,amount,outstanding_share,turnover
2024-01-26,8.05,8.55,7.88,8.5,593009559.0,4823883680.0,161922077818.0,0.003662314410679322
2024-01-29,8.39,8.85,8.25,8.4,586392463.0,4976919504.0,161922077818.0,0.0036214484825170265
2024-01-30,8.32,8.65,8.3,8.4,364425093.0,3082528804.0,161922077818.0,0.0022506201619374774
2024-01-31,8.34,8.56,8.3,8.36,321814304.0,2709883367.0,161922077818.0,0.001987464021810037
2024-02-01,8.2,8.35,8.09,8.15,364404315.0,2985635987.0,161922077818.0,0.0022504918409556817
2024-02-02,8.1,8.3,7.97,8.1,308338869.0,2519513412.0,161922077818.0,0.001904242294534857
2024-02-05,8.06,8.42,8.06,8.31,435567239.0,3600174086.0,161922077818.0,0.002689980544157644
2024-02-06,8.25,8.34,8.04,8.12,328011383.0,2674727053.0,161922077818.0,0.002025736004750902
2024-02-07,8.1,8.32,7.93,8.31,373426118.0,3027913356.0,161922077818.0,0.0023062087828426337
2024-02-08,8.21,8.4,8.13,8.28,268741800.0,2220830979.0,161922077818.0,0.0016596983167549584
2024-02-19,8.28,8.66,8.21,8.65,321573775.0,2732246801.0,161922077818.0,0.0019859785603878436
2024-02-20,8.6,8.67,8.52,8.64,184550268.0,1589633077.0,161922077818.0,0.0011397474049674315
2024-02-21,8.6,8.94,8.58,8.71,312287893.0,2738330683.0,161922077818.0,0.0019286307167513672
2024-02-22,8.63,9.21,8.63,9.21,322411660.0,2885728609.0,161922077818.0,0.001991153179014846
2024-02-23,9.29,9.33,9.0,9.07,282484704.0,2570115752.0,161922077818.0,0.001744571881775826
2024-02-26,9.0,9.13,8.81,8.84,248728463.0,2223115168.0,161922077818.0,0.0015360997484207815
2024-02-27,8.84,9.01,8.8,8.88,208408701.0,1851012781.0,161922077818.0,0.0012870925559283575
2024-02-28,8.81,8.97,8.68,8.84,278727374.0,2457073691.0,161922077818.0,0.0017213673252963618
2024-02-29,8.78,8.88,8.74,8.84,206939563.0,1822502487.0,161922077818.0,0.0012780194386623393
2024-03-01,8.78,8.88,8.72,8.78,176714038.0,1552046718.0,161922077818.0,0.001091352336761798
2024-03-04,8.81,9.15,8.78,9.12,313545401.0,2822418974.0,161922077818.0,0.0019363968473306292
2024-03-05,9.05,9.14,8.93,9.05,249929865.0,2258240356.0,161922077818.0,0.0015435193789998206
2024-03-06,9.03,9.18,8.92,8.98,191910508.0,1735199602.0,161922077818.0,0.0011852028493341527
2024-03-07,8.95,9.24,8.95,9.07,212986731.0,1939805586.0,161922077818.0,0.001315365599738638
2024-03-08,9.05,9.21,8.96,9.18,202721600.0,1845160428.0,161922077818.0,0.001251970100259327
2024-03-11,9.1,9.14,8.89,9.0,223114002.0,2006531744.0,161922077818.0,0.0013779097020406295
2024-03-12,8.95,8.96,8.66,8.68,256919902.0,2250245327.0,161922077818.0,0.0015866885199483254
2024-03-13,8.63,8.75,8.53,8.69,173854176.0,1506428844.0,161922077818.0,0.0010736903722011995
2024-03-14,8.68,8.92,8.67,8.79,213697775.0,1887040144.0,161922077818.0,0.001319756872439568
2024-03-15,8.8,8.88,8.69,8.85,161067415.0,1417302911.0,161922077818.0,0.00099472176475551
2024-03-18,8.83,8.92,8.75,8.86,108472056.0,957393644.0,161922077818.0,0.000669902816599984
2024-03-19,8.88,9.05,8.87,8.9,154847775.0,1389004779.0,161922077818.0,0.0009563104493634803
2024-03-20,8.93,9.18,8.81,9.14,183131638.0,1658626118.0,161922077818.0,0.001130986215516821
2024-03-21,9.08,9.23,9.03,9.17,120783606.0,1105290823.0,161922077818.0,0.0007459366111628117
